window_id,mae_naive,mae_xgb,cutoff_end_date
2016-06-27__2018-06-18,0.02925000000000022,0.028873886585235597,2018-06-18
2000-12-04__2002-11-25,0.029000000000000026,0.028766290187835775,2002-11-25
2014-08-25__2016-08-15,0.07225000000000037,0.028488825321197453,2016-08-15
2015-03-09__2017-02-27,0.014499999999999957,0.028482727050781254,2017-02-27
2001-02-26__2003-02-17,0.04349999999999993,0.02819012141227717,2003-02-17
2016-09-19__2018-09-10,0.041750000000000065,0.028109519004821948,2018-09-10
2015-12-14__2017-12-04,0.029749999999999943,0.028104207992553754,2017-12-04
2001-12-03__2003-11-24,0.034750000000000114,0.027544950962066772,2003-11-24
2009-08-03__2011-07-25,0.07600000000000007,0.02731437730789177,2011-07-25
1999-03-01__2001-02-19,0.03925000000000006,0.027141070604324302,2001-02-19
2003-01-27__2005-01-17,0.08550000000000002,0.027032318592071503,2005-01-17
2000-05-22__2002-05-13,0.007500000000000007,0.02693616199493415,2002-05-13
2014-06-02__2016-05-23,0.06400000000000006,0.02687785482406624,2016-05-23
2002-11-04__2004-10-25,0.06399999999999989,0.026701102256774856,2004-10-25
2010-04-12__2012-04-02,0.08425000000000005,0.026292561531066738,2012-04-02
2017-01-09__2018-12-31,0.01750000000000007,0.026271757602691626,2018-12-31
2012-07-02__2014-06-23,0.08975,0.02608721923828128,2014-06-23
1998-09-14__2000-09-04,0.020250000000000046,0.0253260221481324,2000-09-04
2010-05-10__2012-04-30,0.14249999999999974,0.025113955497741758,2012-04-30
2008-10-27__2010-10-18,0.039249999999999896,0.025013448238372593,2010-10-18
2015-09-21__2017-09-11,0.14749999999999985,0.024813366889953725,2017-09-11
1997-07-21__1999-07-12,0.06475000000000003,0.024728241443634003,1999-07-12
2001-03-26__2003-03-17,0.11249999999999999,0.024644220590591404,2003-03-17
2019-11-11__2021-11-01,0.01749999999999996,0.024557785987853964,2021-11-01
1996-10-14__1998-10-05,0.006249999999999922,0.024328074216842632,1998-10-05
2006-06-12__2008-06-02,0.11800000000000033,0.02426034832000723,2008-06-02
2018-08-20__2020-08-10,0.03375000000000017,0.02422953414916984,2020-08-10
2018-12-10__2020-11-30,0.09500000000000008,0.02402501821517944,2020-11-30
2014-06-30__2016-06-20,0.1100000000000001,0.02396518230438227,2016-06-20
2001-11-05__2003-10-27,0.04050000000000009,0.023619508981704784,2003-10-27
2008-06-09__2010-05-31,0.0172500000000001,0.02341697359085071,2010-05-31
2023-04-24__2025-04-14,0.027249999999999885,0.023390935420990022,2025-04-14
2021-02-01__2023-01-23,0.034250000000000114,0.023270565509796226,2023-01-23
1996-08-19__1998-08-10,0.022250000000000048,0.022811234235763533,1998-08-10
2004-11-29__2006-11-20,0.07374999999999987,0.022232949256897006,2006-11-20
2012-03-12__2014-03-03,0.08750000000000002,0.022224059581756217,2014-03-03
1998-10-12__2000-10-02,0.015750000000000097,0.022170911312103303,2000-10-02
2007-10-29__2009-10-19,0.08500000000000019,0.022072714805603133,2009-10-19
2005-11-28__2007-11-19,0.08600000000000019,0.02192693996429429,2007-11-19
1995-11-13__1997-11-03,0.020000000000000018,0.02183390164375293,1997-11-03
2000-11-06__2002-10-28,0.044500000000000095,0.02171899986267084,2002-10-28
2023-08-14__2025-08-04,0.028249999999999886,0.021628146171569718,2025-08-04
2015-05-04__2017-04-24,0.06125000000000025,0.021480115890502915,2017-04-24
1996-11-11__1998-11-02,0.030500000000000083,0.02138693857192997,1998-11-02
1999-02-01__2001-01-22,0.023499999999999854,0.021352493047714027,2001-01-22
2022-06-20__2024-06-10,0.04249999999999987,0.0213094534873961,2024-06-10
2001-09-10__2003-09-01,0.11675000000000002,0.02101633787155155,2003-09-01
