window_id,train_start,train_end,test_start,test_end,model,mae,rmse,smape,bias
1996-02-05__1998-01-26,1996-02-05,1998-01-26,1998-02-02,1998-02-23,XGBoost (direct multi-horizon),0.11271642422676087,0.12000843353056806,9.81242912668308,0.11271642422676087
1996-03-04__1998-02-23,1996-03-04,1998-02-23,1998-03-02,1998-03-23,Naive (recursive),0.029000000000000137,0.03109662361093256,2.701934367154328,0.029000000000000137
1996-03-04__1998-02-23,1996-03-04,1998-02-23,1998-03-02,1998-03-23,XGBoost (direct multi-horizon),0.08201672577857977,0.08440806652608786,7.442708929516168,0.08201672577857977
1996-04-01__1998-03-23,1996-04-01,1998-03-23,1998-03-30,1998-04-20,Naive (recursive),0.02975000000000011,0.030244834269673337,2.8003534100472125,-0.02975000000000011
1996-04-01__1998-03-23,1996-04-01,1998-03-23,1998-03-30,1998-04-20,XGBoost (direct multi-horizon),0.026617626667022665,0.030272148601081385,2.438888931811355,0.026617626667022665
1996-04-29__1998-04-20,1996-04-29,1998-04-20,1998-04-27,1998-05-18,Naive (recursive),0.030250000000000055,0.03082612528359676,2.77344663621318,-0.030250000000000055
1996-04-29__1998-04-20,1996-04-29,1998-04-20,1998-04-27,1998-05-18,XGBoost (direct multi-horizon),0.035927562952041636,0.039303259604701546,3.307889929124499,-0.035927562952041636
1996-05-27__1998-05-18,1996-05-27,1998-05-18,1998-05-25,1998-06-15,Naive (recursive),0.006749999999999923,0.007664854858377869,0.6107312226099749,0.004749999999999921
1996-05-27__1998-05-18,1996-05-27,1998-05-18,1998-05-25,1998-06-15,XGBoost (direct multi-horizon),0.03138674902915961,0.032908713166790046,2.883013730020316,-0.03138674902915961
1996-06-24__1998-06-15,1996-06-24,1998-06-15,1998-06-22,1998-07-13,Naive (recursive),0.008500000000000063,0.008746427842268003,0.7730794813268559,0.008500000000000063
1996-06-24__1998-06-15,1996-06-24,1998-06-15,1998-06-22,1998-07-13,XGBoost (direct multi-horizon),0.016850305557250977,0.019026652236268173,1.5427187143933245,-0.0006821827888489063
1996-07-22__1998-07-13,1996-07-22,1998-07-13,1998-07-20,1998-08-10,Naive (recursive),0.01650000000000007,0.018506755523321827,1.5255010571170264,0.01650000000000007
1996-07-22__1998-07-13,1996-07-22,1998-07-13,1998-07-20,1998-08-10,XGBoost (direct multi-horizon),0.03540397834777831,0.0379508363495034,3.2400456919895313,0.03540397834777831
